Name,title,Excerpt
exercices-epaules,Extension horizontale des épaules avec élastique,"Cet exercice avec élastique (appelé en anglais band pull apart) est excellent pour travailler et renforcer les muscles de l’arrière des épaules. Avec un élastique de faible résistance, les extensions…"
exercices-epaules,Thruster avec kettlebell,"Le thruster avec kettlebell est une variante du thruster avec haltères. C’est un exercice combiné qui associe le mouvement du squat avant à celui du développé militaire.Par conséquent, le thruster…"
exercices-epaules,Développé épaule unilatéral à genou avec landmine,Le développé épaule avec landmine est une variante exceptionnelle du mouvement de base qu’est le développé vertical. En raison de l’angle de travail particulier selon lequel vous poussez vers le…
exercices-epaules,Élévations latérales unilatérales à la poulie,"Si vous voulez des épaules larges, qui donneront l’illusion d’une taille fine, et si vous voulez que vos muscles deltoïdes soient bien ronds, il est essentiel de ne pas se…"
exercices-epaules,Développé épaules assis avec élastique,Le développé épaules assis avec élastique est un exercice idéal à faire à la maison ou au bureau pour renforcer et développer des deltoïdes forts et musclés. Bien que cet…
exercices-epaules,Développé épaules à la machine,"Le développé épaules (en anglais overhead press) peut être réalisé avec des haltères, une barre ou une machine. Les développés avec barre sont privilégiés dans les sports de force, et…"
exercices-epaules,Oiseau inversé avec sangles de suspension,L’oiseau inversé fait partie des exercices les plus élémentaires pour l’entraînement des épaules. Ce mouvement au poids du corps cible l’arrière des épaules et le haut du dos en utilisant…
exercices-epaules,Thruster avec landmine,Le thruster avec landmine est un exercice combiné qui associe un squat avec landmine et un développé épaule à la landmine. Cet exercice complet cible à la fois les muscles…
exercices-epaules,Rotations cubaines,La rotation cubaine avec haltères n’a pas pour but de développer la masse musculaire. Il s’agit d’un exercice qui permet de préserver la santé de l’épaule en renforçant trois des…
exercices-epaules,Élévations frontales à la poulie basse,Les élévations frontales à la poulie (double cable front raise) sont un exercice d’isolation qui permet de muscler et de renforcer les deltoïdes antérieurs. L’utilisation des poulies constitue une excellente…
exercices-epaules,Thruster,"Depuis sa création, le CrossFit a fait découvrir de nombreux exercices et méthodes d’entraînement moins connus à un public plus large. Sans le CrossFit, les kettlebells n’auraient probablement pas connu…"
exercices-epaules,Développé nuque barre guidée,"Cet exercice, réalisé à l’aide d’une Smith machine, entraîne une pression sur les muscles de la coiffe des rotateurs qui stabilisent les articulations de l’épaule. C’est pour cette raison qu’il…"
exercices-biceps,Curl à la barre,"L’entraînement des biceps peut être relégué au second plan par rapport à des mouvements de force plus populaires comme le squat, le soulevé de terre et le développé couché.Certes, il…"
exercices-biceps,Curl concentré,"Le curl concentré est un mouvement de la vieille école qui peut produire de vrais résultats, mais seulement si vous êtes prêt à travailler avec une bonne technique.Contrairement aux curls…"
exercices-biceps,Curl pupitre barre EZ,"Le curl assis au pupitre barre EZ (en anglais curl Larry Scott, du nom de son inventeur) offre un certain nombre d’avantages que vous ne trouverez peut-être pas dans un…"
exercices-biceps,Curl allongé à la poulie,"Le curl allongé à la poulie est un exercice qui isole parfaitement les biceps, mais également les avant-bras. En position allongée, votre corps ne peut pas se pencher vers l’avant…"
exercices-biceps,Curl poulie en position squat,"Cette variante du curl à la poulie (en anglais squatting cable curl) est un exercice qui permet de développer et renforcer les biceps, avec le corps en position de squat…"
exercices-biceps,Curl au pupitre à la poulie,"Depuis que Pumping Iron a popularisé le culturisme moderne en 1977, l’hypertrophie du biceps brachial a depuis été au premier plan de pratiquement tous les programmes de musculation depuis.Les flexions…"
exercices-biceps,Curl biceps assis à la machine,"Le curl biceps assis à la machine est un excellent exercice pour ceux qui souhaitent entraîner leurs biceps de manière intensive, et en toute sécurité. En fonction de la machine,…"
exercices-biceps,Curl haltère debout sur banc incliné,Le curl debout avec haltère sur banc incliné (en anglais standing one-arm dumbbell curl over incline bench) est un mélange du curl sur un pupitre et du curl concentré. Le…
exercices-biceps,Curl Spider,Le curl spider (que certains traduisent en curl araignée) est un exercice d’isolation efficace pour développer les biceps. L’utilisation d’un banc incliné comme support permet de réaliser un mouvement strict…
exercices-biceps,Curl haltère incliné avec rotation,Le curl incliné avec haltères est une variante du curl traditionnel avec haltères utilisée pour augmenter la taille des biceps.Le biceps est un muscle très facile (et plaisant) à cibler…
exercices-biceps,Curl biceps à la poulie basse,"Le curl à la poulie fait principalement travailler le biceps brachial, qui est le muscle à deux chefs situé à l’avant de votre bras et qui fusionne en un seul…"
exercices-biceps,Traction supination,"Une traction en supination (chin up) est un exercice composé qui permet de faire travailler plusieurs groupes de muscles du haut du corps, en particulier ceux du dos (grands dorsaux,…"
exercices-biceps,Curl Zottman,"Le curl Zottman est un exercice unique avec haltères qui combine un curl biceps classique (main en supination), une rotation des poignets en haut du mouvement, puis un curl en…"
exercices-biceps,Curl en prise marteau avec élastique,L’utilisation de bandes est un moyen ludique et efficace de varier vos entraînements et de stimuler votre corps. Les bandes élastiques offrent une résistance et une tension à toutes les…
exercices-biceps,Curl à la poulie vis-à-vis,"Le curl à la poulie vis à vis est un exercice d’isolation permettant de muscler et de renforcer les biceps.Le biceps étant composé de deux faisceaux (long et court), il…"
exercices-biceps,Drag curl avec haltères,"La plupart des gens sont d’accord pour dire qu’un curl est un curl, quelle que soit la façon dont on le fait. C’est vrai dans la plupart des cas. Mais…"
exercices-biceps,Curl inversé à la barre,"Le curl inversé à la barre ou curl barre en pronation (en anglais reverse barbell curl) est un exercice incontournable pour l’entraînement des bras. Bien sûr, le curl classique à…"
exercices-biceps,Curl haltères prise neutre,"Des bras plus gros et plus forts figurent généralement en haut de la liste des priorités des pratiquants de la musculation. Pour cela, le curl en prise neutre ou curl…"
exercices-biceps,Drag curl à la Smith machine,"Les drag curls à la Smith Machine sont un excellent exercice pour isoler le muscle biceps, car la stabilité de la barre est assurée par le cadre guidé. Ainsi, vous…"
exercices-biceps,Drag curl,Le drag curl à la barre est une variante du curl avec barre qui permet de muscler les biceps. Avoir de gros biceps est un objectif pour de nombreux sportifs…
exercices-biceps,Curl biceps alterné avec haltères,Le curl biceps alterné avec haltères (en anglais Twisting Standing Dumbbell Curl) est un exercice populaire pour la musculation des biceps. Les avant-bras sont secondairement sollicités et les muscles abdominaux…
exercices-biceps,Waiter curl,"Le waiter curl n’est pas un exercice que vous verrez souvent dans votre salle de musculation. La plupart des débutants connaissent déjà d’autres variantes de curl pour les biceps, comme…"
exercices-biceps,Curl biceps alterné en supination sur banc incliné,Le curl avec haltères inclinés (en anglais Dumbbell Incline Curl) est un exercice de musculation très apprécié et est couramment inclus dans les programmes d’entraînement pour les bras des bodybuilders…
exercices-biceps,Curl biceps avec élastique,"Le curl biceps avec élastique, également appelé « Band Biceps Curl » en anglais, est un exercice de musculation qui permet de renforcer et de muscler le biceps brachial. Cet exercice est…"
exercices-biceps,Curl unilatéral avec sangles de suspension,Vous n’avez ni le temps ni le budget pour vous abonner à une salle de sport ? Vous faites peut-être partie de ces personnes qui pensent qu’une salle de musculation…
exercices-biceps,Curl haltère prise marteau au pupitre,"Le curl haltère en prise marteau est un exercice très efficace qui cible le muscle brachio-radial, le muscle brachial, et le biceps.En utilisant une prise marteau/neutre, vous ciblez davantage les…"
exercices-biceps,Curl avec sangles de suspension,"Le curl biceps avec sangles de suspension permet de se muscler les biceps au poids de corps à la maison ou à l’extérieur, du moment que vous trouvez un point…"
exercices-biceps,Curl incliné à la poulie,Le curl incliné à la poulie est un exercice d’isolation très efficace pour développer les biceps et les muscles de l’avant-bras.Vous obtiendrez de meilleurs résultats avec cet exercice en utilisant…
exercices-triceps,Barre front,Le « barre front » (lying barbell tricep extension) est un exercice d’extension des triceps effectué couché avec une barre.Il s’agit d’un exercice populaire dont le principal avantage est d’obtenir un étirement…
exercices-triceps,Dips aux barres parallèles,"Les dips sont un des exercices de musculation les plus sous-estimés. Avec l’abondance de machines disponibles pour travailler les bras, les épaules et les pectoraux, on a tendance à oublier…"
exercices-triceps,Extensions verticales d’un bras avec haltère,"Cet exercice d’isolation est parfait pour renforcer, développer et tonifier le triceps brachial, muscle situé à l’arrière du bras.L’extension du triceps (en anglais dumbbell tricep extension) est un mouvement qui…"
exercices-triceps,Extension verticale assis à la barre,"L’extension verticale des triceps à la barre (en anglais overhead tricep extension) est un exercice d’isolation qui permet de développer la masse musculaire et la force des triceps, notamment la…"
exercices-triceps,Extensions des triceps à la machine Technogym,"Les extensions des triceps à la machine (en anglais lever triceps extension) sont un excellent exercice pour isoler le muscle triceps brachial, le muscle composé de trois chefs situés à…"
exercices-triceps,Dips sur une chaise,Les dips sur une chaise sont un excellent exercice de musculation qui permet de travailler les triceps. Il sollicite également dans une moindre mesure les muscles pectoraux et les deltoïdes…
exercices-triceps,Extensions des triceps incliné à la poulie basse,"L’extension des triceps incliné à la poulie basse est un exercice d’isolation efficace pour le développement des trois chefs du triceps (latéral, long et médial). Il s’agit d’une variante des…"
exercices-triceps,Pompes,"Quand vous pensez aux pompes, qu’est-ce qui vous vient à l’esprit ? Peut-être au défi 30 jours pour arriver à faire 100 pompes. Ou aux pénalités infligées lors de votre…"
exercices-triceps,Extensions concentrées des triceps à la poulie,L’extension concentrée des triceps à la poulie (en anglais cable concentration tricep extension) est un exercice d’isolation qui cible efficacement les muscles triceps. Il ne s’agit pas d’un exercice typique…
exercices-triceps,Extension horizontale à la poulie,"Les extensions horizontales à la poulie sont un exercice qui permet de travailler principalement les triceps et les deltoïdes postérieurs.Il s’agit d’un mouvement peu courant, mais cela n’enlève en rien…"
exercices-triceps,Extension verticale à la poulie basse,L’extension verticale des triceps à la poulie avec corde (en anglais rope overhead cable extension) est un exercice populaire pour muscler l’arrière des bras.Cet exercice d’isolation permet un étirement important…
exercices-triceps,Extensions verticales à la poulie haute,"Un exercice très populaire pour développer les triceps, les extensions verticales à la poulie haute (en anglais cable triceps pushdown) est un incontournable pour développer des bras plus gros et…"
exercices-triceps,Dips assis à la machine Matrix,"Les dips sur machine sont un bon exercice pour ceux qui cherchent à effectuer le mouvement de dips, mais qui ne se sentent pas à l’aise ou ne sont pas…"
exercices-triceps,Kickback alterné assis,"Le alterné assis avec haltères est un fantastique exercice d’isolation des triceps, efficace pour renforcer les trois chefs des triceps. Les triceps représentent deux tiers de la masse du bras,…"
exercices-triceps,Extensions des triceps incliné avec haltères,Les extensions de triceps avec haltères inclinés sont un excellent exercice pour isoler vos triceps. Il peut être effectué aussi bien par ceux qui cherchent à obtenir de plus gros…
exercices-triceps,Extensions des triceps décliné avec haltères,Les extensions de triceps avec haltères avec un banc décliné (en anglais Decline Dumbbell Tricep Extension) sont un exercice d’isolation très efficace qui permet de développer la force et la…
exercices-triceps,Handstand push-up,"La plupart des gens font des variantes du overhead press (développé militaire) et différents exercices d’isolation pour se muscler les épaules. Pourtant, il existe un exercice de musculation oublié de…"
exercices-triceps,Dips assistés à la machine,"Les dips assistés à la machine sont un exercice très utile pour un grand nombre de personnes. En effet, les dips au poids du corps ne sont pas toujours possibles,…"
exercices-triceps,Dips assis à la machine Hammer Strength,"La machine à dips en position assise permet de travailler principalement les triceps, et secondairement les pectoraux avec une charge définie. Elle peut être utilisée par les débutants qui ne…"
exercices-triceps,Kickback debout avec haltères,"Le kickback avec haltères est un excellent exercice pour les triceps, pour autant que vous compreniez les nuances techniques qui ne sont pas toujours évidentes à discerner. Nous verrons ici…"
exercices-triceps,Extensions des triceps assis avec haltère,"Contrairement à ce que l’on pourrait penser, les triceps sont en fait des muscles assez puissants, avec trois chefs distincts (d’où le nom « tri »). Cela signifie qu’ils ont un potentiel…"
exercices-triceps,Extensions des triceps couché avec haltères,"L’un des exercices les plus populaires pour développer l’arrière du bras est l’extension du triceps couché. Cet exercice est généralement effectué avec une barre, surnommée « l’écraseur de crâne » (de l’anglais…"
exercices-triceps,Extensions des triceps incliné à la Smith machine,"Étant donné que le triceps brachial représente les deux tiers de la taille des bras, un entraînement spécifique de ces muscles est indispensable, si vous souhaitez obtenir de gros bras.…"
exercices-triceps,Développé couché prise serrée à la Smith machine,"Je n’ai jamais entendu personne dire : « Je n’aime pas travailler les bras ». Pourtant, si la plupart des gens aiment travailler leurs biceps, seule une petite partie d’entre eux accordent…"
exercices-triceps,Extensions des triceps à la poulie haute à la corde,Les extensions des triceps à la corde sont une excellente variante pour travailler les muscles triceps.Les mouvements d’extension des triceps en hauteur sont particulièrement efficaces pour cibler la longue portion…
exercices-triceps,Extensions des triceps avec sangles de suspension,"Les extensions des triceps en suspension sont l’un des meilleurs exercices pour combiner le renforcement des abdominaux et le travail ciblé des triceps.En effet, vous bénéficiez des mêmes avantages qu’avec…"
exercices-triceps,Dips aux anneaux,"Les dips sont un mouvement au poids du corps très apprécié dans les salles de musculation. Cet exercice permet de faire travailler simultanément les triceps, les pectoraux et les épaules.L’exécution…"
exercices-triceps,Dips sur banc,"Les dips sur banc sont un exercice utilisant le poids du corps, permettant d’activer les muscles des bras, des épaules et de la poitrine. Ils sont également connus sous le…"
exercices-triceps,Kickback,Le kickback pour les triceps est l’un des exercices les plus couramment utilisés pour muscler et tonifier l’arrière du bras. Les hommes et les femmes se plaignent souvent d’avoir des…
exercices-triceps,Dips entre deux bancs,"Les dips entre deux bancs sont un exercice de musculation qui permet de solliciter principalement les triceps, et secondairement les épaules et les pectoraux.C’est un exercice de base pour travailler…"
exercices-triceps,Extensions verticales à deux mains avec haltère,Les extensions verticales à deux mains avec haltère en position assise inclinée (en anglais incline two arm dumbbell extension) sont un mouvement fantastique qui permet de développer la masse et…
exercices-triceps,Extension des triceps au-dessus de la tête avec élastique,"L’extension des triceps avec des élastiques est un exercice pratique et, si je puis dire, très efficace pour entraîner vos triceps un peu partout.La réalisation d’extensions de triceps avec des…"
exercices-triceps,Extension verticale des triceps avec élastique,"Les deux tiers des muscles de la partie supérieure de nos bras sont constitués par les triceps. Donc si vous voulez avoir des bras plus forts, plus musclés ou simplement…"
exercices-triceps,Tate press à un bras avec haltère,Cet exercice d’isolation unilatéral cible principalement les muscles triceps. Il est idéal pour remédier à tout déséquilibre musculaire entre les deux bras.Le seul équipement dont vous avez besoin pour cet…
exercices-pectoraux,Pompes inclinées sur Smith Machine,"Les pompes sont des mouvements classiques de musculation au poids du corps, largement reconnus pour leur efficacité à renforcer le haut du corps. Pour les débutants qui cherchent à adapter…"
exercices-pectoraux,Pompes inclinées avec sangles de suspension,"Les pompes inclinées avec sangles de suspension sont un exercice au poids du corps qui sollicite plusieurs groupes musculaires en même temps. Il s’agit d’une variante avancée des pompes classiques,…"
exercices-pectoraux,Développé couché,Le « bench press » ou développé couché est l’un des premiers exercices que la plupart des pratiquants apprennent lorsqu’ils commencent la musculation. C’est de loin l’exercice le plus populaire effectué dans…
exercices-pectoraux,Développé incliné à la barre,"Le développé couché est le roi des exercices pour les pectoraux, car il développe une force massive et permet de bien développer les muscles du torse (pectoraux). La variante inclinée…"
exercices-pectoraux,Écartés couché avec haltères,"Le développé couché est considéré comme l’exercice de base pour les pectoraux, mais il présente certaines limites. La principale limite est qu’il ne s’agit pas d’un exercice pour les « pectoraux ».…"
exercices-pectoraux,Écartés à la poulie vis-à-vis,"Les écartés à la poulie vis-à-vis (cable middle fly) sont une variante du Pec Deck ou Butterfly à la machine, un exercice pour renforcer les muscles pectoraux, et de l’avant…"
exercices-pectoraux,Développé couché haltères,Le développé couché avec haltères (dumbbell bench press) est une variante du développé couché à la barre. C’est un exercice qui permet de développer les muscles pectoraux.On recommande généralement de…
exercices-pectoraux,Dips aux barres parallèles,"Les dips sont un des exercices de musculation les plus sous-estimés. Avec l’abondance de machines disponibles pour travailler les bras, les épaules et les pectoraux, on a tendance à oublier…"
exercices-pectoraux,Pec-deck ou butterfly,"Cet appareil de musculation est souvent négligé en salle, car il existe de nombreuses autres possibilités de travailler les muscles pectoraux.Le pec deck, anciennement appelé butterfly, permet aux débutants comme…"
exercices-pectoraux,Développé incliné à la machine convergente,Le développé incliné à la machine convergente (leverage incline chest press) est une variante du développé couché incliné avec haltères qui permet de travailler les muscles pectoraux. Elle cible aussi…
exercices-pectoraux,Développé décliné à la barre,Le développé décliné à la barre (decline barbell bench press) est une variante du développé couché. C’est un exercice utilisé pour solliciter les muscles pectoraux. Il cible aussi indirectement les…
exercices-pectoraux,Écartés décliné avec haltères,Les écartés décliné avec haltères sont une variation des écartés pour travailler les pectoraux et plus particulièrement la partie basse des muscles pectoraux. Et même si on ne peut pas…
exercices-pectoraux,Écartés Hyght,"Les écartés Hyght (en anglais Hyght dumbbell fly) sont une variante des écartés imaginée par le Dr Clay Hyght, bodybuilder et coach, pour cibler efficacement le haut des pectoraux (partie…"
exercices-pectoraux,Développé couché prise inversée,Le développé couché prise inversée (en anglais reverse grip bench press) est une variante du développé couché effectuée avec les mains en supination (paumes vers le haut). Ce changement de…
exercices-pectoraux,Écartés unilatéraux à la landmine,Les écartés à la landmine sont similaires aux écartés avec haltères. Le mouvement de pivotement de la landmine permet une trajectoire appropriée pour activer vos pectoraux lors des écartés.Comme n’importe…
exercices-pectoraux,Pompes,"Quand vous pensez aux pompes, qu’est-ce qui vous vient à l’esprit ? Peut-être au défi 30 jours pour arriver à faire 100 pompes. Ou aux pénalités infligées lors de votre…"
exercices-pectoraux,Développé couché avec chaînes,"Le développé couché avec chaînes est une variante du développé couché à la barre. C’est un exercice qui permet de renforcer les muscles pectoraux.L’utilisation de chaînes, notamment dans le développé…"
exercices-pectoraux,Développé décliné avec haltère,"Le développé décliné avec haltères (decline dumbbell bench press) est une variante du développé couché décliné avec barre. En utilisant des haltères lors d’un développé couché décliné, vous bénéficiez d’une…"
exercices-pectoraux,Pullover avec haltère,Le pullover avec haltères permet de faire travailler les muscles de la poitrine et les grands dorsaux (les muscles du milieu et du bas du dos). Cela en fait un…
exercices-pectoraux,Développé couché à la Smith machine,"Les Smith machines ont tendance à avoir mauvaise réputation. Mais il est temps d’inverser ce paradigme. Si elles sont utilisées de manière appropriée, les Smith machines peuvent vous aider à…"
exercices-pectoraux,Hex press à la Smith machine,"Le hex press à la Smith machine est un excellent exercice pour travailler les pectoraux, bien qu’il soit quelque peu oublié et très sous-estimé. En fait, pour tout dire, cet…"
exercices-pectoraux,Écartés couché à la poulie vis-à-vis,Les écartés couché à la poulie vis-à-vis (en anglais lying cable fly) sont un exercice d’isolation qui permet de travailler les muscles grands pectoraux.Les poulies sont un excellent outil qui…
exercices-pectoraux,Développé debout avec élastique,Pas de salle de sport ? Pas de banc de développé couché ? Vous en avez marre de faire des pompes pour travailler les pectoraux ? Essayez le développé debout…
exercices-pectoraux,Développé couché serré avec haltères,"Tout le monde veut avoir de gros pectoraux. Dans cette quête, le développé couché serré avec haltères (en anglais Squeeze Press) est un choix intelligent pour faire travailler les muscles…"
exercices-pectoraux,Développé incliné à la poulie,Le développé incliné à la poulie est un exercice composé qui permet de développer la masse musculaire et la force des pectoraux. L’utilisation d’un banc incliné est très intéressante pour…
exercices-pectoraux,Svend press,"« Vous devez sentir le muscle travailler » est un adage courant dans le monde du fitness. Ressentir un muscle se contracter signifie, en toute logique, qu’il est ciblé et sollicité. Cependant,…"
exercices-pectoraux,Développé couché avec élastique,"Le développé couché avec élastique (en anglais band bench press), est une variation du populaire développé couché. Cet exercice utilise des bandes élastiques pour apporter une résistance, offrant ainsi une…"
exercices-pectoraux,Écarté à la poulie vis à vis haute à genoux,Les écartés à la poulie vis à vis haute à genoux (en anglais cable kneeling high to low fly) sont un mouvement de musculation qui cible principalement les muscles de…
exercices-pectoraux,Développé décliné avec élastique,Le développé décliné est un excellent exercice pour tonifier et développer la partie inférieure des pectoraux. Faire cet exercice avec un élastique est une excellente alternative aux machines à poulies…
exercices-pectoraux,Développé couché Larsen,"Le développé couché est le roi incontesté des exercices pour les pectoraux. Les bodybuilders l’utilisent pour améliorer le développement des pectoraux, tandis que pour les powerlifters, il s’agit du deuxième…"
exercices-pectoraux,Développé couché unilatéral avec kettlebell,Le développé couché avec kettlebell à un bras est une variante du développé couché avec haltères à un bras. C’est un exercice permettant de renforcer les muscles pectoraux.Cette variante comporte…
exercices-pectoraux,Développé couché au sol avec kettlebell,Le développé couché avec kettlebells (kettlebell floor press) est une variante du développé couché et un exercice destiné à renforcer les muscles pectoraux et les triceps.L’utilisation des kettlebells pour effectuer…
exercices-pectoraux,Développé à la landmine à genoux pour les pectoraux,"Lorsque la plupart des gens pensent à développer la partie haute des pectoraux, ils pensent au développé incliné avec haltères ou à la barre. Or, l’un des exercices les plus…"
exercices-pectoraux,Développé assis à la machine pour les pectoraux,"Le développé couché à la barre, effectué en décubitus dorsal (allongé sur le dos), est considéré comme le roi des exercices de musculation des pectoraux. Il s’agit également de l’un…"
exercices-pectoraux,Écartés avec sangles de suspension,"Les écartés avec sangles de suspension (appelé en anglais TRX chest fly) sont l’un des meilleurs exercices pour isoler les muscles pectoraux. En effet, la grande instabilité des sangles permet…"
exercices-pectoraux,Chest press avec sangles de suspension,"Le chest press avec sangles de suspension fait non seulement travailler les pectoraux, mais il sollicite aussi les triceps et la partie antérieure des épaules. La réalisation de cet exercice…"
exercices-pectoraux,Écartés incliné avec haltères,Les écartés incliné avec haltères (en anglais incline dumbbell fly) sont un excellent exercice d’isolation pour augmenter la masse musculaire de la partie supérieure des pectoraux. Cet exercice est donc…
exercices-pectoraux,Écarté unilatéral à la poulie,"Lorsque vous pensez aux meilleurs exercices pour les pectoraux, le premier exercice qui vous vient à l’esprit est probablement le développé couché. Vous ne pensez probablement pas aux appareils à…"
exercices-pectoraux,Développé incliné avec haltères,"L’exercice du développé incliné avec haltères (dumbbell incline bench press) permet de développer les muscles du haut du corps : pectoraux, épaules et triceps.Le fait d’incliner le banc de musculation…"
exercices-pectoraux,Écartés à la poulie haute,"Les écartés à la poulie haute (cable crossover) sont une variante des écartés à la poulie, un exercice permettant de renforcer les muscles de la poussée, et plus particulièrement ceux…"
exercices-pectoraux,Écartés avec élastique,"En l’absence d’haltères, de barres et d’un banc, le meilleur accessoire que vous pouvez utiliser pour vous entraîner à la maison reste les bandes de résistance. Ces élastiques existent sous…"
exercices-pectoraux,Développé couché au sol,Vous ne pouvez pas traverser une salle de musculation sans voir au moins une personne sur un banc de développé couché. C’est sans doute un des exercices de musculation les…
